longitude,latitude,deff
-153.88,61.581,-32
-154,61.594,-5
-153.88,61.581,-23
-154.03,61.598,-14
-153.85,61.578,-39
-154.03,61.598,-22
-153.46,61.533,-8
-153.77,61.569,-16
-153.75,61.567,-6
-154.03,61.598,-13
-154.03,61.598,-15
-154.03,61.599,-10
-154.03,61.598,-18
-154,61.595,-10
-153.46,61.533,6.7
-154.26,61.624,-20
-153.75,61.567,-7
-153.77,61.569,-20
-154.42,61.642,2.9
-154.39,61.639,2.7
-154.36,61.635,-31
-153.87,61.581,-37
-154.45,61.646,-28
-154.05,61.602,14
-154.04,61.6,-11
-154.46,61.646,-21
-154.34,61.634,-34
-154.39,61.639,7
-154.15,61.612,3.5
-153.48,61.537,-4
-153.95,61.59,-23
-153.63,61.554,9.3
-154.3,61.629,-29
-153.65,61.557,15
-153.76,61.569,-0
-154.34,61.634,-33
-154.02,61.599,4.4
-153.65,61.557,19
-153.56,61.546,-23
-154.47,61.648,-12
-153.69,61.562,1.5
-154.05,61.603,13
-154.05,61.602,17
-154.47,61.648,-10
-154.17,61.615,-32
-154.05,61.603,13
-153.44,61.533,2.1
-154.05,61.602,-9
-153.57,61.548,-12
-154.18,61.617,-28
-154.29,61.629,2.8
-153.88,61.583,-32
-153.71,61.564,-17
-154.46,61.647,-10
-154.47,61.648,-9
-153.98,61.595,-17
-154.32,61.632,-33
-154.31,61.632,-28
-154.04,61.602,-10
-154.36,61.637,-7
-154,61.598,-16
-154.34,61.635,-37
-153.45,61.535,-11
-154.17,61.617,-14
-153.35,61.523,9.1
-153.69,61.563,0.9
-153.37,61.526,1.1
-153.71,61.565,-12
-153.75,61.569,-4
-154.06,61.605,3.7
-154.17,61.617,-17
-153.71,61.565,-13
-154.02,61.601,-4
-154.04,61.603,-2
-154.29,61.63,-13
-154.02,61.601,-8
-153.49,61.54,-3
-154.45,61.648,-1
-153.49,61.539,4.4
-154.46,61.649,-9
-154.28,61.629,-30
-153.69,61.563,2.8
-153.9,61.587,-37
-154.03,61.602,-8
-153.69,61.563,7.3
-153.7,61.564,-9
-154.05,61.604,8.8
-153.49,61.54,3.3
-154.39,61.642,3.3
-153.69,61.563,8.6
-154.45,61.648,4.9
-153.57,61.55,-16
-154.26,61.628,-18
-153.88,61.585,-57
-154.38,61.641,-2
-153.37,61.527,-3
-153.88,61.586,-36
-154.29,61.631,-9
-153.87,61.585,-50
